"University-of-North-Carolina-at-Chapel-Hill","Deep Learning","undergrad","COMP 664","2","2","","1","2","1","1","1","1"
"University-of-North-Carolina-at-Charlotte","Machine Learning","undergrad","ITCS 4156","null","null","","null","null","3","null","null","null"
"University-of-North-Carolina-at-Charlotte","Applied Machine Learning","grad","ITCS 6156","4","2","","1","2","1","1","2","2"
"University-of-North-Carolina-at-Charlotte","Applied Machine Learning","grad","ITCS 8156","null","1","","1","1","1","null","null","null"
"University-of-Southern-California","Introduction to Artificial Intelligence","undergrad","CSCI 360 ","null","null","","null","null","null","null","null","null"
"University-of-Washington-Seattle-Campus","Introduction to Data Science","undergrad","CSE 180","2","1","","1","1","1","1","1","0"
"University-of-Washington-Seattle-Campus","Introduction to AI","undergrad","CSE 415","null","null","","null","null","null","null","null","null"
"University-of-Washington-Seattle-Campus","Introduction to Machine Learning","undergrad","CSE 416","null","null","","null","null","null","null","null","null"
"University-of-Washington-Seattle-Campus","Machine Learning","undergrad","CSE 446","null","null","","null","null","null","null","null","null"
"University-of-Washington-Seattle-Campus","Artificial Intelligence I","undergrad","CSE 473","null","null","","null","null","null","null","null","null"
"University-of-Washington-Seattle-Campus","Deep Learning","grad","CSE 543","null","2","","2","2","null","null","null","null"
"University-of-Washington-Seattle-Campus","Machine Learning","grad","CSE 546","null","2","","1","2","null","null","null","null"
"University-of-Washington-Seattle-Campus","Machine Learning for Big Data","grad","CSE 547","null","1","","1","2","1","1","1","1"
"University-of-Washington-Seattle-Campus","Artificial Intelligence I","grad","CSE 573","3","2","","1","2","1","1","1","1"
